"","response","email","date","site","initials","number","camera","first_photo","gps_n","gps_w","slope","aspect","height_ft","seedling_or_adult","dbh_cm","adult_crown_class","adult_dead_or_alive","dead_adult_base_epicormics","dead_adult_trunk_epicormics","dead_adult_canker_presence","dead_adult_canker_base","dead_adult_canker_1st9ft","dead_adult_canker_1stlivebranch","dead_adult_girdle","producing_seed","adult_percent_live_canopy","live_adult_base_epicormics","live_adult_trunk_epicormics","live_adult_canker_presence","live_adult_callus_presence","live_adult_canker_base","live_adult_canker_1st9ft","live_adult_canker_1stlivebranch","live_adult_girdle","live_adult_purdue_canker_rating","live_adult_purdue_canopy_ranking","densi_n","densi_e","densi_s","densi_w","basal_diameter_mm","seedling_damage","seedling_previous_stem_count","seedling_germ_yr","seedling_dead_or_alive","dead_seedling_canker_presence","seedling_percent_live_canopy","live_seedling_canker_presence","live_seedling_callus_presence","seedling_canker_base","seedling_canker_stem","seedling_girdle","seed_count","seed_bunch_size","terminal_bud","leaf_scar","lenticels","twig_hairs","riparian_or_upland","associate_trees","competition","other_competition","last_photo","notes","hybrid_visibility","Column.67","IGNORE.1","Ignore.2","ignore.3","ignore.4","ignore.5","ignore.6","ignore.7","ignore.8","Column.77","hickory","dogwood","black.walnut","white.pine","red.cedar","white.cedar","malus","buckthorn","ash","elm","mulberry","basswood","sumac","honeysuckle","elderberry","prunus","lilac","boxelder","maple","hackberry","butternut","oak","poplar","hazelnut","beech","gooseberry","spruce","birch","seedling_damage.1","Column.105"
"1",120,"kyliereroth@gmail.com","9/9/2025","ILM","BU","20","SonyHX90V",3366,44.88447,-73.3263,2,"E",34,"Adult",18,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",75,"N","N","Y","Yes",1,7,10,7,1.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, ash, elm, maple, bitternut hickory, red cedar, basswood ","None apparent","",3379,"collected by Kylie","N",NA,"butternut","ash","elm","maple","hickory","red cedar","basswood","",NA,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"2",121,"kyliereroth@gmail.com","9/9/2025","ILM","BU","22","SonyHX90V",3357,44.88445,-73.3262,1,"E",43,"Adult",42.3,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",100,"N","N","Y","Yes",10,5,2,5,1.5,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","red cedar, butternut, basswood, bitternut hickory, ash, elm","None apparent","",3365,"collected by Kylie ","N",NA,"red cedar","butternut","basswood","hickory","ash","elm","","",NA,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"3",122,"kyliereroth@gmail.com","9/9/2025","ILM","BU","23","SonyHX90V",3345,44.88453,-73.3262,1,"E",37,"Adult",25.8,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",60,"Y","N","Y","Yes",25,45,45,70,3,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","Unsure","0","upland","red cedar, butternut, basswood, bitternut hickory, ash, elm ","None apparent","",3356,"collected by kylie","Y",NA,"red cedar","butternut","basswood","hickory","ash","elm","","",NA,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"4",123,"kyliereroth@gmail.com","9/9/2025","ILM","BU","25","SonyHX90V",3230,44.88461,-73.3251,1,"E",62,"Adult",75.7,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",75,"N","N","Y","Yes",15,7,2,4,1,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, basswood, ash, hickory, white cedar","None apparent","",3239,"like declining due to old age, collected by Kylie ","N",NA,"butternut","basswood","ash","hickory","white cedar","","","",NA,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"5",124,"kyliereroth@gmail.com","9/9/2025","ILM","BU","26","SonyHX90V",3240,44.88452,-73.3251,1,"E",63,"Adult",54.1,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",75,"N","N","Y","Yes",10,1,0.5,5,1,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, white cedar, hickory, basswood ","None apparent","",3249,"collected by kylie","N",NA,"ash","butternut","white cedar","hickory","basswood","","","",NA,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"6",129,"kyliereroth@gmail.com","9/10/2025","ILM","BU","40","SonyHX90V",3682,44.88273,-73.33,0,"",32,"Adult",29.9,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",80,"N","N","Y","Yes",50,35,25,20,3,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","white cedar, elderberry, ash, elm, buckthorn","None apparent","",3694,"collected by catherine","N",NA,"white cedar","elderberry","ash","elm","buckthorn","","","",NA,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"7",108,"kyliereroth@gmail.com","9/7/2025","ILM","BU","50","SonyHX90V",2568,44.88337,-73.327,5,"NE",11,"Adult",10.4,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",65,"N","N","Y","Yes",45,NA,50,60,3,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","1","upland","red cedar, bitternut hickory ","None apparent","",2582,"collected by Emma","Y",NA,"red cedar","hickory","","","","","","",NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"8",90,"kyliereroth@gmail.com","9/7/2025","ILM","BU","52","SonyHX90V",1418,44.8852,-73.3264,2,"E",1.15,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,87,86,76,79,7.31,"",0,2024,"Dead","Y",NA,"","",20,35,45,"","",NA,"1","0","0","upland","red cedar, butternut, ash, dogwood ","None apparent","",1424,"","Y",NA,"red cedar","butternut","ash","dogwood","","","","",NA,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"9",94,"kyliereroth@gmail.com","9/3/2025","ILM","BU","52","SonyHX90V",1418,44.8852,-73.3264,2,"E",1.15,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,87,86,76,79,7.31,"",0,2024,"Dead","Y",NA,"","",20,35,45,"","",NA,"0","0","0","upland","red cedar, butternut, ash, dogwood ","None apparent","",1424,"","Y",NA,"red cedar","butternut","ash","dogwood","","","","",NA,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"10",107,"kyliereroth@gmail.com","9/7/2025","ILM","BU","53","SonyHX90V",2594,44.88345,-73.3272,1,"E",14,"Adult",5.6,"Suppressed","Alive","","","",NA,NA,NA,NA,"No",95,"N","N","Y","Yes",25,NA,10,30,1.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","red cedar, butternut, malus","None apparent","",2603,"collected by Emma","N",NA,"red cedar","butternut","malus","","","","","",NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
